Målt;Globalstråling;Relativ fugtighed;Temperatur;Vindretning;Vindhastighed
22-02-2022 10:30:00;138;65;2,7;138;2,1
22-02-2022 10:00:00;188;70;2,3;180;1,8
22-02-2022 09:30:00;152;79;1,8;182;1,4
22-02-2022 09:00:00;92;84;1,4;178;1,00
22-02-2022 08:30:00;125;86;1,00;162;1,1
22-02-2022 08:00:00;64;86;0,6;171;1,4
22-02-2022 07:30:00;12;84;0,9;80;0,9
22-02-2022 07:00:00;1;82;1,1;14;1,5
22-02-2022 06:30:00;0;73;1,5;336;2,7
22-02-2022 06:00:00;0;68;1,5;262;1,4
22-02-2022 05:30:00;0;66;1,6;292;1,7
22-02-2022 05:00:00;0;68;1,5;300;2,1
22-02-2022 04:30:00;0;68;1,5;312;2,3
22-02-2022 04:00:00;0;67;1,7;309;2,00
22-02-2022 03:30:00;0;69;1,8;318;2,1
22-02-2022 03:00:00;0;71;1,8;320;2,4
22-02-2022 02:30:00;0;71;1,8;307;2,1
22-02-2022 02:00:00;0;70;2,2;313;2,00
22-02-2022 01:30:00;0;70;2,5;320;2,2
22-02-2022 01:00:00;0;70;2,8;321;1,9
22-02-2022 00:30:00;0;69;2,9;305;2,4
22-02-2022 00:00:00;0;68;3,00;315;2,7
21-02-2022 23:30:00;0;69;3,00;314;2,4
21-02-2022 23:00:00;0;70;2,9;304;2,1
21-02-2022 22:30:00;0;69;2,8;297;2,3
21-02-2022 22:00:00;0;69;2,8;298;1,7
21-02-2022 21:30:00;0;70;2,7;308;1,6
21-02-2022 21:00:00;0;71;2,6;308;2,2
21-02-2022 20:30:00;0;70;2,7;304;1,9
21-02-2022 20:00:00;0;69;2,8;337;2,2
21-02-2022 19:30:00;0;69;2,9;340;3,1
21-02-2022 19:00:00;0;68;3,1;349;3,2
21-02-2022 18:30:00;0;66;3,5;346;3,4
21-02-2022 18:00:00;0;64;4,00;345;3,8
21-02-2022 17:30:00;2;61;4,7;333;4,5
21-02-2022 17:00:00;18;62;5,3;333;4,4
21-02-2022 16:30:00;67;68;6,2;325;5,2
21-02-2022 16:00:00;165;70;6,5;306;5,5
21-02-2022 15:30:00;209;71;6,6;297;6,1
21-02-2022 15:00:00;237;72;6,6;294;5,8
21-02-2022 14:30:00;320;73;6,7;287;5,9
21-02-2022 14:00:00;306;73;6,5;284;6,3
21-02-2022 13:30:00;301;74;6,3;284;6,8
21-02-2022 13:00:00;226;74;6,1;283;7,4
21-02-2022 12:30:00;286;75;6,00;278;7,7
21-02-2022 12:00:00;186;75;5,8;280;7,5
21-02-2022 11:30:00;159;77;5,4;277;7,6
21-02-2022 11:00:00;212;82;4,9;272;7,5
21-02-2022 10:30:00;99;86;4,4;275;6,8
21-02-2022 10:00:00;61;89;4,00;290;4,9
21-02-2022 09:30:00;39;90;3,6;297;3,6
21-02-2022 09:00:00;29;90;3,3;294;4,7
21-02-2022 08:30:00;24;91;3,1;289;5,1
21-02-2022 08:00:00;9;92;2,8;278;4,1
21-02-2022 07:30:00;1;92;2,7;281;4,1
21-02-2022 07:00:00;0;92;2,4;277;4,00
21-02-2022 06:30:00;0;92;2,5;278;5,1
21-02-2022 06:00:00;0;91;2,7;90;4,8
21-02-2022 05:30:00;0;92;3,3;280;4,7
21-02-2022 05:00:00;0;92;3,8;283;4,2
21-02-2022 04:30:00;0;92;4,5;288;4,7
21-02-2022 04:00:00;0;93;5,1;266;5,1
21-02-2022 03:30:00;0;93;5,1;252;4,3
21-02-2022 03:00:00;0;92;5,00;253;4,7
21-02-2022 02:30:00;0;92;4,7;242;4,4
21-02-2022 02:00:00;0;92;4,8;243;4,2
21-02-2022 01:30:00;0;92;5,00;258;4,3
21-02-2022 01:00:00;0;92;4,8;263;3,1
21-02-2022 00:30:00;0;92;5,4;268;3,4
21-02-2022 00:00:00;0;92;6,2;259;3,8
20-02-2022 23:30:00;0;93;6,8;180;3,5
20-02-2022 23:00:00;0;92;6,8;160;3,2
20-02-2022 22:30:00;0;92;6,9;155;2,4
20-02-2022 22:00:00;0;91;7,1;181;3,00
20-02-2022 21:30:00;0;91;7,2;188;3,2
20-02-2022 21:00:00;0;90;7,3;203;3,8
20-02-2022 20:30:00;0;90;7,3;207;4,4
20-02-2022 20:00:00;0;90;7,4;209;5,1
20-02-2022 19:30:00;0;90;7,4;215;5,3
20-02-2022 19:00:00;0;91;7,3;216;5,1
20-02-2022 18:30:00;0;95;6,8;218;5,3
20-02-2022 18:00:00;0;95;5,1;194;3,7
20-02-2022 17:30:00;0;95;4,2;187;3,6
20-02-2022 17:00:00;2;93;3,3;178;3,6
20-02-2022 16:30:00;10;92;2,9;174;4,4
20-02-2022 16:00:00;15;92;2,3;169;4,9
20-02-2022 15:30:00;28;91;1,7;159;5,00
20-02-2022 15:00:00;32;91;1,1;154;4,9
20-02-2022 14:30:00;21;90;1,6;140;6,8
20-02-2022 14:00:00;41;89;1,7;127;7,4
20-02-2022 13:30:00;55;87;2,00;128;6,7
20-02-2022 13:00:00;70;85;2,1;135;5,5
20-02-2022 12:30:00;63;82;2,3;159;6,1
20-02-2022 12:00:00;58;76;2,7;164;6,5
19-02-2022 11:30:00;312;65;5,6;263;6,5
19-02-2022 11:00:00;294;65;5,4;264;6,1
19-02-2022 10:30:00;298;67;4,8;264;5,00
19-02-2022 10:00:00;242;74;4,00;251;4,2
19-02-2022 09:30:00;158;75;3,3;242;3,3
19-02-2022 09:00:00;111;75;3,00;245;3,2
19-02-2022 08:30:00;92;76;2,8;254;3,3
19-02-2022 08:00:00;49;77;2,7;266;3,8
19-02-2022 07:30:00;9;78;2,6;271;3,7
19-02-2022 07:00:00;0;81;2,6;287;3,7
19-02-2022 06:30:00;0;84;2,6;297;4,2
19-02-2022 06:00:00;0;85;2,6;307;5,9
19-02-2022 05:30:00;0;85;2,5;314;6,7
19-02-2022 05:00:00;0;89;1,8;320;6,2
19-02-2022 04:30:00;0;87;1,8;325;6,4
19-02-2022 04:00:00;0;88;1,8;328;7,1
19-02-2022 03:30:00;0;90;1,7;328;7,6
19-02-2022 03:00:00;0;91;2,2;316;6,2
19-02-2022 02:30:00;0;92;2,6;305;3,00
19-02-2022 02:00:00;0;92;2,7;241;2,5
19-02-2022 01:30:00;0;93;2,3;216;2,7
19-02-2022 01:00:00;0;92;1,6;195;2,4
19-02-2022 00:30:00;0;92;1,5;192;3,3
19-02-2022 00:00:00;0;91;1,6;191;3,00
