Målt;Globalstråling;Relativ fugtighed;Temperatur;Vindretning;Vindhastighed
22-02-2022 08:00:00;88;62;2,8;282;3,3
22-02-2022 07:30:00;31;70;1,4;275;3,4
22-02-2022 07:00:00;3;77;0,2;281;3,4
22-02-2022 06:30:00;0;78;0,1;272;3,1
22-02-2022 06:00:00;0;77;0,3;266;2,6
22-02-2022 05:30:00;0;76;0,3;266;2,9
22-02-2022 05:00:00;0;76;0,2;280;3,1
22-02-2022 04:30:00;0;76;0,4;293;2,7
22-02-2022 04:00:00;0;76;0,5;293;3,6
22-02-2022 03:30:00;0;75;0,9;298;3,8
22-02-2022 03:00:00;0;74;1,1;296;4,2
22-02-2022 02:30:00;0;73;1,3;299;3,8
22-02-2022 02:00:00;0;72;1,7;305;4,4
22-02-2022 01:30:00;0;72;2,2;302;4,6
22-02-2022 01:00:00;0;74;1,9;291;4,9
22-02-2022 00:30:00;0;76;1,5;290;4,3
22-02-2022 00:00:00;0;75;1,7;292;4,00
21-02-2022 23:30:00;0;74;1,9;291;4,3
21-02-2022 23:00:00;0;74;2,2;290;4,9
21-02-2022 22:30:00;0;72;2,3;294;5,00
21-02-2022 22:00:00;0;71;2,4;303;6,7
21-02-2022 21:30:00;0;71;2,8;308;6,9
21-02-2022 21:00:00;0;73;3,00;305;6,8
21-02-2022 20:30:00;0;74;2,8;304;6,7
21-02-2022 20:00:00;0;76;2,8;302;6,3
21-02-2022 19:30:00;0;78;3,1;299;6,2
21-02-2022 19:00:00;0;83;4,00;295;6,5
21-02-2022 18:30:00;0;92;3,7;282;6,9
21-02-2022 18:00:00;0;94;3,4;293;7,7
21-02-2022 17:30:00;1;75;5,3;264;8,00
21-02-2022 17:00:00;5;74;5,3;253;9,2
21-02-2022 16:30:00;16;68;5,9;255;8,3
21-02-2022 16:00:00;64;66;6,1;252;9,7
21-02-2022 15:30:00;79;64;6,3;250;9,9
21-02-2022 15:00:00;109;63;6,4;252;9,7
21-02-2022 14:30:00;106;64;6,00;252;9,5
21-02-2022 14:00:00;91;65;6,00;253;10,1
21-02-2022 13:30:00;93;69;5,7;252;10,1
21-02-2022 13:00:00;146;68;5,9;251;10,5
21-02-2022 12:30:00;222;67;5,8;254;9,7
21-02-2022 12:00:00;142;78;4,5;247;10,7
21-02-2022 11:30:00;52;96;2,7;248;11,4
21-02-2022 11:00:00;32;96;2,6;247;11,4
21-02-2022 10:30:00;27;97;2,5;246;11,8
21-02-2022 10:00:00;23;97;2,3;240;11,2
21-02-2022 09:30:00;12;97;1,7;248;10,6
