Målt;Globalstråling;Relativ fugtighed;Temperatur;Vindretning;Vindhastighed
22-02-2022 10:30;302;66;5,00;238;3,4
22-02-2022 10:00;318;68;4,4;244;2,8
22-02-2022 09:30;206;68;3,8;244;2,7
22-02-2022 09:00;179;74;3,2;262;2,5
22-02-2022 08:30;117;77;2,8;278;2,3
22-02-2022 08:00;95;78;2,5;277;2,00
22-02-2022 07:30;28;78;2,5;285;1,6
22-02-2022 07:00;2;77;2,7;288;2,3
22-02-2022 06:30;0;77;2,8;296;2,7
22-02-2022 06:00;0;77;2,9;295;3,00
22-02-2022 05:30;0;79;2,8;289;2,9
22-02-2022 05:00;0;81;2,7;285;2,2
22-02-2022 04:30;0;82;2,6;291;1,9
22-02-2022 04:00;0;83;2,3;302;2,3
22-02-2022 03:30;0;83;2,2;316;3,1
22-02-2022 03:00;0;78;3,2;337;2,8
22-02-2022 02:30;0;67;4,6;304;6,00
22-02-2022 02:00;0;66;4,8;296;5,3
22-02-2022 01:30;0;66;4,9;296;5,4
22-02-2022 01:00;0;66;4,8;297;5,2
22-02-2022 00:30;0;67;5,00;294;5,5
22-02-2022 00:00;0;71;5,1;297;6,00
21-02-2022 23:30;0;75;5,8;290;4,8
21-02-2022 23:00;0;73;6,1;292;3,9
21-02-2022 22:30;0;73;6,1;294;3,8
21-02-2022 22:00;0;73;5,9;295;4,6
21-02-2022 21:30;0;74;5,9;294;4,5
21-02-2022 21:00;0;73;5,9;292;4,7
21-02-2022 20:30;0;72;5,9;290;4,8
21-02-2022 20:00;0;71;5,8;287;4,5
21-02-2022 19:30;0;71;5,7;284;4,2
21-02-2022 19:00;0;70;5,6;282;4,00
21-02-2022 18:30;0;68;5,6;282;4,3
21-02-2022 18:00;0;65;5,8;285;4,8
21-02-2022 17:30;1;63;6,2;280;5,7
21-02-2022 17:00;20;62;6,4;284;5,5
21-02-2022 16:30;76;62;6,8;278;4,9
21-02-2022 16:00;122;63;6,7;273;5,00
21-02-2022 15:30;186;61;6,9;269;5,1
21-02-2022 15:00;287;61;6,8;269;5,1
21-02-2022 14:30;196;62;6,8;258;6,4
21-02-2022 14:00;287;62;6,8;261;5,5
21-02-2022 13:30;136;61;6,6;261;6,6
21-02-2022 13:00;265;62;6,7;264;5,8
21-02-2022 12:30;258;61;6,6;90;6,7
21-02-2022 12:00;270;61;6,3;264;6,8
21-02-2022 11:30;327;62;6,2;264;7,9
21-02-2022 11:00;345;67;5,8;259;6,8
21-02-2022 10:30;314;68;5,3;255;7,00
21-02-2022 10:00;184;69;4,8;256;7,1
21-02-2022 09:30;102;68;4,5;258;6,9
21-02-2022 09:00;�;�;�;Ukendt;�
21-02-2022 04:00;0;79;5,6;261;7,1
21-02-2022 03:30;0;82;5,2;249;6,7
21-02-2022 03:00;0;82;4,9;244;6,2
21-02-2022 02:30;0;81;5,3;251;7,1
21-02-2022 02:00;0;81;5,7;248;6,8
21-02-2022 01:30;0;80;6,2;251;7,7
21-02-2022 01:00;0;80;7,1;246;8,6
21-02-2022 00:30;0;83;8,1;224;7,8
21-02-2022 00:00;0;87;8,5;206;8,00
20-02-2022 23:30;0;87;8,4;194;6,7
20-02-2022 23:00;0;87;8,4;193;5,9
20-02-2022 22:30;0;87;8,3;197;6,3
20-02-2022 22:00;0;87;8,1;202;6,00
20-02-2022 21:30;0;88;8,00;202;6,3
20-02-2022 21:00;0;88;7,8;205;6,2
20-02-2022 20:30;0;88;7,7;202;5,6
20-02-2022 20:00;0;87;7,8;208;5,6
20-02-2022 19:30;0;86;8,00;216;5,2
20-02-2022 19:00;0;85;8,1;228;6,1
20-02-2022 18:30;0;85;8,1;228;6,00
20-02-2022 18:00;0;86;8,00;233;6,3
20-02-2022 17:30;0;87;7,7;233;6,3
20-02-2022 17:00;2;87;7,7;232;6,3
20-02-2022 16:30;7;88;7,5;235;5,4
20-02-2022 16:00;12;89;6,5;219;4,5
20-02-2022 15:30;37;89;5,4;199;4,7
20-02-2022 15:00;37;88;4,7;192;4,9
20-02-2022 14:30;47;87;3,8;189;4,5
20-02-2022 14:00;68;86;2,9;172;4,6
20-02-2022 13:30;70;86;2,6;170;5,7
20-02-2022 13:00;92;85;2,7;163;6,8
20-02-2022 12:30;86;83;2,9;167;5,9
20-02-2022 12:00;110;81;3,3;174;4,8
20-02-2022 11:30;146;80;3,6;182;4,6
20-02-2022 11:00;91;78;3,7;184;4,6
20-02-2022 10:30;152;80;3,6;189;4,9
20-02-2022 10:00;130;83;3,00;190;4,1
20-02-2022 09:30;112;84;2,1;165;2,7
20-02-2022 09:00;84;85;1,7;179;2,8
20-02-2022 08:30;66;85;1,3;190;2,8
20-02-2022 08:00;32;84;0,8;190;2,3
20-02-2022 07:30;12;83;0,6;196;2,3
20-02-2022 07:00;1;82;0,9;202;1,7
20-02-2022 06:30;0;82;0,9;234;2,2
20-02-2022 06:00;0;83;0,9;238;3,00
20-02-2022 05:30;0;82;0,9;238;2,7
20-02-2022 05:00;0;80;1,3;245;2,6
20-02-2022 04:30;0;81;1,4;248;2,8
20-02-2022 04:00;0;80;1,6;235;2,6
20-02-2022 03:30;0;78;2,00;245;3,3
20-02-2022 03:00;0;78;2,1;242;3,4
20-02-2022 02:30;0;80;2,00;240;3,00
20-02-2022 02:00;0;80;2,2;225;3,5
20-02-2022 01:30;0;80;2,3;230;4,2
20-02-2022 01:00;0;78;2,2;232;3,8
20-02-2022 00:30;0;76;2,4;225;3,7
20-02-2022 00:00;0;77;2,5;228;3,8
19-02-2022 23:30;0;81;2,7;227;3,3
19-02-2022 23:00;0;81;2,8;223;3,9
19-02-2022 22:30;0;80;2,9;228;4,00
19-02-2022 22:00;0;79;2,8;230;5,00
19-02-2022 21:30;0;79;2,6;228;4,3
19-02-2022 21:00;0;76;3,00;241;5,2
19-02-2022 20:30;0;76;3,1;239;6,3
19-02-2022 20:00;0;76;3,1;242;6,5
19-02-2022 19:30;0;78;2,9;243;6,4
19-02-2022 19:00;0;81;2,5;241;6,5
19-02-2022 18:30;0;80;3,00;248;6,00
19-02-2022 18:00;0;77;3,8;242;6,5
19-02-2022 17:30;0;72;4,7;237;5,2
19-02-2022 17:00;10;67;5,00;248;6,4
19-02-2022 16:30;43;65;5,2;235;6,1
19-02-2022 16:00;86;66;5,5;236;5,9
19-02-2022 15:30;185;71;5,1;240;5,4
19-02-2022 15:00;74;67;5,2;247;6,6
19-02-2022 14:30;237;63;6,1;251;7,2
19-02-2022 14:00;267;60;6,4;254;7,8
19-02-2022 13:30;271;62;6,3;255;6,6
19-02-2022 13:00;145;64;6,2;258;6,4
19-02-2022 12:30;329;64;6,2;259;6,7
19-02-2022 12:00;313;64;6,2;265;6,7
19-02-2022 11:30;311;66;6,1;269;6,00
19-02-2022 11:00;184;68;5,6;275;6,00
19-02-2022 10:30;138;68;5,4;274;6,1
19-02-2022 10:00;153;69;5,4;273;5,5
19-02-2022 09:30;152;70;5,00;271;5,6
19-02-2022 09:00;113;72;4,6;275;5,00
19-02-2022 08:30;102;70;4,3;274;5,1
19-02-2022 08:00;44;72;3,8;279;5,3
19-02-2022 07:30;8;69;3,8;275;5,5
19-02-2022 07:00;0;68;3,8;284;5,8
19-02-2022 06:30;0;70;3,5;282;5,8
19-02-2022 06:00;0;70;3,6;291;7,8
19-02-2022 05:30;0;71;3,7;290;7,8
19-02-2022 05:00;0;73;3,6;288;9,4
19-02-2022 04:30;0;73;4,00;294;10,6
19-02-2022 04:00;0;79;4,00;293;9,3
19-02-2022 03:30;0;82;4,1;291;7,8
19-02-2022 03:00;0;84;4,00;272;5,1
19-02-2022 02:30;0;80;3,9;232;6,6
19-02-2022 02:00;0;74;4,5;230;5,8
19-02-2022 01:30;0;75;4,7;231;7,6
19-02-2022 01:00;0;76;4,6;233;7,2
19-02-2022 00:30;0;74;4,6;235;7,6
19-02-2022 00:00;0;75;4,8;235;7,9
18-02-2022 23:30;0;75;5,1;235;8,6
